article_id,pair_id,label,label_name,title,content_length,raw_text_length
true_18,18,0,real,"Reagon ish-agjenti i SHIK-ut: Pas shumë përpjekjeve dështuan të më vrasin, për të vënë kurora mbi varrin tim si hero",956,1073
true_19,19,0,real,"Hyseni takon Limajn e Hoxhajn, i evitojnë mospajtimet për koordinatorin",589,661
true_20,20,0,real,"MSh thotë se ka numër të mjaftueshëm testesh për COVID, ja cilëve persona u bëhet testi!",3115,3204
true_21,21,0,real,"Skenat e gangsterëve politik, për marre!",2753,2794
true_22,22,0,real,Miratohen shtesat mujore për pagat e personelit shëndetësor,420,480
true_23,23,0,real,"Kush po e nguc “Albinin e vogël”, Gazmend Gjyshincën?",1581,1635
true_24,24,0,real,"Po, pajtohem me ambasadorin e ShBA-së",2139,2177
true_25,25,0,real,Daçiq për utimatimin rreth Kosovës: Çdo letër në Bruksel do të ishte dështim i plotë,1328,1413
true_26,26,0,real,"“Znaçka” e shpërndanë një video kinse gjyshi i Arbana Xharrës i del në krah Millosheviçit, gazetarja i kundërpërgjigjet fuqishëm!",701,831
true_27,27,0,real,"Syla letër Thaçit, Osmanit e Hotit: Ju jep afat deri nesër, të inicohet hartimi i Ligjit të Pagave",1407,1506
true_28,28,0,real,Lajmi i fundit për mërgimtarët në Gjermani që vinë e shkojnë nga Kosova,1277,1349
true_29,29,0,real,"Ia dekoroi vëllain që ia vranë, ja çfarë i kishte shkruar Ibrahim Kelmendi Speciales për Thaçin: Hetojeni për arrestimin dhe zhdukjen e...",13779,13918
true_30,30,0,real,Zemaj: Testi për COVID-19 nuk u kërkohet qytetarëve që vijnë nga Shqipëria dhe Serbia,2239,2325
true_31,31,0,real,Mjeku shqiptar: Mos u ndjeni të mbrojtur apo supermenë vetëm se keni maskë!,935,1011
true_32,32,0,real,"Dy gra humbin betejën me koronavirusin në 24 orët e fundit, ministria jep detajet",1055,1137
true_33,33,0,real,LVV në Tiranë kundër ndryshimeve kushtetuese: Deformojnë vullnetin e qytetarëve dhe sistemin zgjedhor,2867,2969
true_34,34,0,real,Rita Ora tregon hiret si asnjëherë më parë,255,298
true_35,35,0,real,"Rekord, trajneri i Kosovës është dhurues i gjakut mbi 50 herë",473,535
true_36,36,0,real,"Profesor Mehazi me “goditje” të re për Thaçin, Hotin e Hysenin: Ja pse po duan marrëveshje të shpejt me Serbinë",1990,2102
true_37,37,0,real,"Hyseni flet për herë të parë si Koordinator: Negociatat me Serbinë, skajshmërisht politike – me doemos do ketë njohje reciproke",633,761
true_38,38,0,real,"Reagon Arben Gashi pas publikimit të videos, tregon pse e rrethuan deputetin e LVV-së",2143,2229
true_39,39,0,real,Tomë Gashi: Ja pse u sulmua Gjyshinca nga Arben Gashi e Kujtim Shala,1401,1470
true_40,40,0,real,"S’ka projekt marrëveshje, BE sqaron temat që diskutohen nesër mes Kosovës dhe Serbisë",3582,3668
true_41,41,0,real,"Do ti arrestonin burrin që kishte vdekur dy vite më parë, gruaja rrëzon SPAK: U lëndova shumë kur ia pashë emrin",986,1099
true_42,42,0,real,"Pas publikimit të pamjeve, vjen reagimi i parë nga LDK, paralajmërojnë se ka tendencë për ta prezantuar situatën e djeshme në favor të VV-së",1801,1946
true_43,43,0,real,"Pasi dolën pamjet për përplasjen LDK-VV, vjen reagimi nga partia e Kurtit: Situata është tepër serioze – ja pse ndodhi sulmi",1643,1768
true_44,44,0,real,Kosnett del kundër projektligjit për vlerat e UÇK-së,1033,1086
true_45,45,0,real,BE demanton mediat serbe të cilat raportuan se Brukseli po i jep ultimatum Serbisë për Kosovën,1164,1259
true_46,46,0,real,"Reagon Mimoza Kusari për sulmin ndaj deputetit të VV-së: Kur ju iku marrja, ju iku edhe mendja e gënjejnë pa turp",531,645
true_47,47,0,real,"Zemaj viziton spitalin e Mitrovicës, dorëzojnë një autoambulancë",1249,1314
true_48,48,0,real,"Pas publikimit të videos në hollin e Kuvendit, Haki Abazi i quan rrugaça deputetët e LDK-së",675,767
true_49,49,0,real,Ministri Veliu viziton Zubin Potokun,1845,1882
true_50,50,0,real,"Detyrim për test corone në Gjermani, por si funksionon ai?",4728,4787
true_51,51,0,real,"Kush është Qerim Kelmendi që u vra dhe u dogj në Pejë, ky është profili i tij, sot u dekorua nga Thaçi",19426,19529
true_52,52,0,real,Bajralija: Qeveria nuk deshi që Republika e Kosovës të trajtohet e barabartë me Serbinë,10312,10400
true_53,53,0,real,Shtohen edhe tri viktima nga koronavirusi në Kosovë,1006,1058
true_54,54,0,real,Ky është dallimi në mes Armend Zemajt e Arben Vitisë,759,812
true_55,55,0,real,A shkakton rrjeti 5G koronavirus? Shkencëtarët e kanë një përgjigje,1492,1560
true_56,56,0,real,"Nga Afrika e Jugut në Kosovë, ja arsyeja",1407,1448
true_57,57,0,real,"Hoti: Autobusët, taksitë dhe kombibusët do të punojnë me gjysmën e kapaciteteve",289,369
true_58,58,0,real,Gruaja e mistershme! Më e fuqishmja në botën e futbollit,1272,1329
true_59,59,0,real,"Deputetja e PDK-së paralajmeron rënien e Qeverisë, tregon arsyen e përplasjeve të fundit",1624,1713
true_60,60,0,real,33-vjeçarja e sëmurë u përdhunua nga fqinji/ Apeli prekës i vëllait,1372,1440
true_61,61,0,real,"E dhimbshme në familjen e sportistit të Kosovës, të shtunën vdes djali, të martën nëna!",947,1035
true_62,62,0,real,​Haradinaj uron 30-vjetorin e themelimit të Partisë së Aksionit Demokratik në Sanxhak,951,1037
true_63,63,0,real,"Profesori rikthen temën për atentatin kundër Veliut, përmend edhe vrasjet e veprimtarëve të tjerë të LDK-së",2732,2840
true_64,64,0,real,"Thaçi viziton familjen e Murat dhe Enver Halitit, ndan urdhërin “Hero i Kosovës”",809,890
true_65,65,0,real,Kusari: Qeveria e Kosovës erdhi dhe do të shkojë shpejt duke politizuar me pandeminë,1942,2027
true_66,66,0,real,Gjiganti turk bën gati ofertën zyrtare për djaloshin e Kosovës,1220,1283
true_67,67,0,real,"Tensionet në raportimin e Veliut, reagon edhe zëdhënësi i PDK-së",1268,1333
true_68,68,0,real,Zemaj e konfirmon: Qytetarëve të Shqipërisë që hyjnë në Kosovë nuk u kërkohet testi Covid-19,1105,1198
true_69,69,0,real,Qeveria merr vendim për shtesat e mjekëve,3646,3688
true_70,70,0,real,"Nis Haxhi, BIK ka një njoftim për besimtarët myslimanë",1068,1123
true_71,71,0,real,"Çfarë kërkuan serbet në Rambuje, e çfarë po kërkon sot Serbia nga Kosova",1442,1515
true_72,72,0,real,"“Qetësohu, pije pak ujë”, ​tensione e përplasje mes deputetëve - dështon raportimit i Veliut",10894,10987
true_73,73,0,real,Malazezët kundërshtojnë investimet e oligarkut rus Oleg Deripaska,1534,1600
true_74,74,0,real,"“Qetësohu, pije pak ujë”, ​tensione e përplasje mes deputetëve - dështon raportimit i Veliut",10894,10987
true_75,75,0,real,Vjehrra dhe kunata e bëjnë për spital nusen në Lipjan,488,542
true_76,76,0,real,"“Qetësohu, pije pak ujë”, ​tensione e përplasje mes deputetëve - dështon raportimit i Veliut",10894,10987
true_77,77,0,real,Qeveria po na e bëjka varrimin kur të vdesim nga COVID-19...,645,706
true_78,78,0,real,"Deputeti i LDK-së i del sërish kundër partisë, përkrah fuqishëm Vjosa Osmanin",633,711
true_79,79,0,real,Mësoni kush është bashkëshortja e Driton Selmanajt,951,1002
true_80,80,0,real,"Daçiqin e nervozon deklarata e ministres Haradinaj, thotë se po gënjen se u penguan dy çnjohje të Kosovës",791,897
true_81,81,0,real,Mjeku shqiptar: Jo çdo maskë të mbron,1297,1335
true_82,82,0,real,Daçiq: Nuk na është bërë e ditur se në Bruksel do të bisedohet për ndonjë dokument,2354,2437
true_83,83,0,real,"Përçarja e koalicionit qeverisës, problemi më i fortë qëndron tek ky post",1729,1803
true_84,84,0,real,Studim i ri: Zbuloni moshën e fëmijëve që e përhapin më shumë Koronavirusin,1533,1609
true_85,85,0,real,Liderët e Ballkanit sot mbajnë video-samit të organizuar nga Këshilli Atlantik,1141,1220
true_86,86,0,real,Lajm i keq për Shqiptarët e Luginës kur hyn në Kosovë,1289,1343
true_87,87,0,real,Albumi i Dua Lipës lë pas emrat më eminent në tregun e muzikës,514,577
true_88,88,0,real,"Çmimi që Pelegrinët, paguajnë për Haxhin",6907,6948
true_89,89,0,real,"Vdesin 3 pacientë në Spitalin e Gjilanit, dy prej tyre me Covid-19",1237,1304
true_90,90,0,real,"Konjufca flet ashpër për Zemajn, nuk ka haber në menaxhimin e pandemisë",1305,1377
true_91,91,0,real,"Fytyrë e re, mesazh i njëjtë - Ja kush do ta zëvendësoi Grenellin në Berlin",4100,4176
true_92,92,0,real,Punonjës sezonalë në Gjermani - Kurrë më!,5481,5523
true_93,93,0,real,Fqinji la shtatzënë 33-vjeçaren e sëmurë/ Si e zbuloi vëllai dhe dëshmitë e banorëve,3306,3391
true_94,94,0,real,Ferma e pulave,13344,13359
true_95,95,0,real,Qeveria merr vendim për shtesat e mjekëve,3646,3688
true_96,96,0,real,Shqyrtohet projektligji për parandalimin dhe luftimin e pandemisë,350,416
true_97,97,0,real,Horoskopi i datës 29 korrik 2020,8026,8059
true_98,98,0,real,“Emmy Awards 2020” – Publikohet lista e nominimeve,3889,3940
true_99,99,0,real,Arta Nitaj thekson format trupore me veshjen e ngushtë nga palestra,513,581
true_100,100,0,real,Parashikon Albulena Haxhiu: Shpejt shihemi në zgjedhje të jashtëzakonshme,1406,1480
true_101,101,0,real,"Gjurmimi i COVID-19, cilat vende po e përjetojnë valën e dytë?",3280,3343
true_102,102,0,real,Konjufca e quan “ministre aksidentale” Meliza Haradinajn,985,1042
true_103,103,0,real,"Konjufca komenton statusin e Isa Mustafës, thotë se populli ka pezëm mbi të",1305,1381
true_104,104,0,real,Haradinaj-Stublla thotë se AAK u njoftua përmes mediave për emërimin e Skender Hysenit – Koordinator,1585,1686
true_105,105,0,real,Boshatisen rrugët e Prishtinës,574,605
true_106,106,0,real,Geci: S’i kam bërë asgjë Hashim Thaçit dhe as Shtabit të Përgjithshëm të UÇK’së,781,861
true_107,107,0,real,Gani Geci tregon se çfarë do të bëjë nëse Hashim Thaçi del i pafajshëm në Gjykatën Speciale,592,684
true_108,108,0,real,"Për masat kundër Covid19 e rrëzoi Kurtin, a po i përdorë të njëjta Qeveria Hoti?",1340,1421
true_109,109,0,real,"Përplasja LDK-VV, juristi thotë se populli nuk ka votuar për rrahje – partia e Isa Mustafës nuk e ka në natyrën e saj të bëjë veprime të tilla",3268,3411
true_110,110,0,real,"Arbana Xharra: Erdogan ndërton xhami te ne, kurse në Serbi çon biznesmenë",1493,1567
true_111,111,0,real,"Pas masave të reja të Qeverisë, paralajmërohen skena të pacientëve të shtrirë nëpër korridore",826,920
true_112,112,0,real,"Masat kundër pandemisë, qeveria merr vendim edhe për çerdhet",420,481
true_113,113,0,real,Nga ora 22:30 deri në 05:00 ndalohet qarkullimi në këto komuna,1377,1440
true_114,114,0,real,Mefail Bajqinovci sulmon rëndë Isa Mustafën,1851,1895
true_115,115,0,real,"A do të izolohen qytetarët që kthen nga pushimet, ky është vendimi i Qeverisë",2822,2900
true_116,116,0,real,Shtyhet gjykimi ndaj të akuzuarve për vrasjen e rojës së lokalit “Bon Vivant”,7160,7238
true_117,117,0,real,"Shtimi i rasteve me Covid-19, vendet evropiane marrin masa të reja",1685,1752
true_118,118,0,real,Kush po thotë se Arben Gashi e Kujtim Shala e kanë shoqe të mirë Ganimete Musliun,742,824
true_119,119,0,real,"Miku i Brad Pitt vret të dashurën, largohet me Porsche dhe pastaj vret veten",814,891
true_120,120,0,real,"Vetizolohet deputeti Bulliqi, ka simptoma të COVID",483,534
true_121,121,0,real,"Makiqi: Zotëri Hashani, kjo që e ke shkruar është rrena më e madhe! Qysh ki fytyrë...",5071,5157
true_122,122,0,real,"‘Shuplaka’ e radhës nga BE për Hashim Thaçin, ky është paralajmërimi i fortë për Presidentin",6735,6828
true_123,123,0,real,"Kosova nën “kthetrat” e COVID-19, Krasniqi tregon sa pacientë janë të shtruar në spitale",2258,2347
true_124,124,0,real,Ja vendimet e fundit nga Qeveria e Kosovës për aktivitetet kulturore e sportive,564,644
true_125,125,0,real,"Më në fund, Isa Mustafa e “pranoi” se e prishi koalicionin me VV-në",1585,1653
true_126,126,0,real,"Covid-19/ Befason kjo vogëlushe, dëgjojeni çka thotë për Albin Kurtin",1264,1334
true_127,127,0,real,"Komentatori që kritikon Vuqiçin, Xhajiqin, kriminelin Dragan, i ka ndodhur diçka e keqe në Serbi!",1045,1143
true_128,128,0,real,LAJMI I FUNDIT: Kosova pritet ti testojë të gjithë shtetasit e Shqipërisë të cilët hyjnë në territorin e Kosovës!,1558,1672
true_129,129,0,real,"Burri pranon vrasjen e gruas gjatë pushimeve në Francë, para se të merrte avionin për t’u kthyer",1987,2084
true_130,130,0,real,"Pamjet: Njëherë e sfidoi, por Hashim Thaçi ‘dorëzohet’ përballë Avdullah Hotit",1740,1819
true_131,131,0,real,Deputetja e PDK-së: Fitore Pacolli është element turbullues brenda Komisionit,2601,2679
true_132,132,0,real,Zëvendësministri i Qeverisë Hoti “publikon” pamjet e përplasjes mes Kujtim Shalës dhe Gazmend Gjyshincës?,997,1103
true_133,133,0,real,"“Eskalon” Rexhaj, i quan “rrugaçë” deputetët e Albinit – ja çka thotë për Osmanin",573,655
true_134,134,0,real,"Kabashi, njeriu që po e bën një qytet me rrethinë të jetojë ëndrrën dhe as mos të fle nga emocionet",2740,2840
true_135,135,0,real,Pacolli: Na quajnë arrogant se po ua qesim në shesh të gjitha dështimet,1434,1506
true_136,136,0,real,“Rrethohet Kuvendi i Kosovës - rrahën e shkallmohen në dajak - Deputetët e VV-së!?”,975,1059
true_137,137,0,real,"Bëhuni gati, mot përvëlues edhe në dy ditët e ardhshme",655,710
true_138,138,0,real,"Edhe Kurti reagon për sulmin fizik mes deputetëve VV-LDK, ja kë e quan “rrugaçë”",892,973
true_139,139,0,real,"Flet sërish Gazmend Gjyshinca: Kujtim Shala dhe Arben Gashi më ngrehen nga krahu, pastaj...",1654,1746
true_140,140,0,real,"Policia gjen armën e krimit me të cilën u ekzekutua Emiljano Ramazani, arrestohen babë e bir",1799,1892
true_141,141,0,real,Abazi: “Akademik” Shala e “polici i paedukatë” Gashi me shenja të paqëndrueshmërisë psikologjike,2123,2220
true_142,142,0,real,"Përplasja e madhe LDK-VV, Kujtim Shala dhe Arben Gashi sqarojnë gjithçka çfarë ndodhi në korridorin e Kuvendit",5739,5850
true_143,143,0,real,Për këtë fjalë u sulmua deputeti i VV-së,382,423
true_144,144,0,real,"Përplasja e madhe LDK-VV, Kujtim Shala dhe Arben Gashi sqarojnë gjithçka çfarë ndodhi në korridorin e Kuvendit",5739,5850
true_145,145,0,real,Ahmeti prezanton dizajnin e shkollave të reja në Prishtinë,813,872
true_146,146,0,real,"Përplasjet në Kuvend, Isa Mustafa i del në krah Kujtim Shalës, ironizon keq me VV-në: Shala mund t’i rrahë me dije e me argumente prej të parit deri në të fundit të VV-së",1286,1457
true_147,147,0,real,Blerim Kuqi: Janë zhbllokuar të gjitha llogaritë e Telekomit!,580,642
true_148,148,0,real,"Biznesi kundër karantinimit, ka qëllim dëmtimin e biznesit mbarëshqiptar",1152,1225
true_149,149,0,real,A janë të rëndësishme masat e reja të Qeverisë kundër pandemisë,2238,2302
true_150,150,0,real,​Kadrijaj jep detaje si e ndërprenë mbledhjen e komisionit: Jemi fyer nga këta deputetë,1675,1763
true_151,151,0,real,Bytyçi flet para finales Prishtina-Ballkani: Premitë gjithmonë janë surprizë nga Presidenca,1259,1351
true_152,152,0,real,"Tronditëse, ja çka ndodhë në banjo...",1130,1168
true_153,153,0,real,Deputeti i VV-së konfirmon: Jam sulmuar befasisht nga Arben Gashi dhe Kujtim Shala i LDK-së,4060,4152
true_154,154,0,real,"Munishi: Presioni te Prishtina, nuk mund t’i zgjedhim problemet e tyre",2920,2991
true_155,155,0,real,"Abuzoi seksualisht për 2 vite me nxënësen 12 vjeçare, shtyhet gjyqi për mësuesin 64- vjeçar",1221,1313
true_156,156,0,real,"Thellohen mospajtimet e koalicionit, Qeveria para shpërbërjes?",1183,1246
true_157,157,0,real,Kusari: Kjo Qeveri është humbje për Kosovën ende pa u formuar,1063,1125
true_158,158,0,real,"Ishin së bashku në takim me Grenellin, Veliu dhe Hyseni bisedojnë sot për dialogun Kosovë-Serbi",1227,1323
true_159,159,0,real,Investim i guximshëm i bashkatdhetarit tonë Sami Voca - Ranchi “Troja” në Maxherë me ambient piktoresk për të gjitha moshat,3940,4064
true_160,160,0,real,"Siguria e brendshme mbetet sfidë e institucioneve të Kosovës, së bashku me gjithë qytetaret e saj",1569,1667
true_161,161,0,real,"Mjetet ushtarake të blera nga FSK, demantohen informatat e Serbisë dhe Rusisë",3743,3821
true_162,162,0,real,"Dumoshi: Kamuran Goranci përveç ditëlindjes, feston edhe ditën e parë të pensionimit",1162,1247
true_163,163,0,real,Kujtim Shala polemizon me Meliza Haradinajn,1066,1110
true_164,164,0,real,Flet zëvendëskryemistrja: Nuk do të ketë vendim që obligon qytetarët të vetizolohen pas kthimit nga Shqipëria,2162,2272
true_165,165,0,real,Shërohet Arsim Bajrami,1140,1163
true_166,166,0,real,"Ndryshime e bërë në 2019, nuk parashihen në draftin e Kodit Civil, është e papranueshme vazhdimi i shtypjes së grave",1606,1723
true_167,167,0,real,Historiani Jahja Drançolli publikon stemën e Dardanisë,859,914
true_168,168,0,real,Jeta Xharra publikon foton skandaloze: Ja çka po ndodh në spitalin e mushkërive në QKUK,475,563
true_169,169,0,real,Deputetja Albena Reshitaj tregon se është shëruar nga koronavirusi,1329,1396
true_170,170,0,real,"“Zonja e hekurt”, e pamposhtur nga partia e saj",7420,7468
true_171,171,0,real,"Shqiptari nga Kosova që shkaktoi aksident në Berlin: Ju lutem, më qëlloni, nuk doja të ndodhte kjo",2123,2222
true_172,172,0,real,Edhe një zyrtar i LDK-së shërohet nga Koronavirusi,673,724
true_173,173,0,real,“Isa Mustafa meriton të bëhet President – trimi që mundi ‘ushtarin e Allahut’”,1626,1705
true_174,174,0,real,"Hashani: Aziz Makiqi, ku keni qenë ju gjatë okupimit?",939,993
true_175,175,0,real,Pacientja me koronavirus kthehet në shtëpi pas 111 ditësh në spital,527,595
true_176,176,0,real,"Ministri Reçica viziton OVL-në, të lejohet përfitimi i pensioneve",1326,1392
true_177,177,0,real,"Vrasja monstruoze/ Vrau me çekiç dhe ia coptoi trupin shokut të tij, burg të përjetshëm për autorin",946,1046
true_178,178,0,real,Zerina,6607,6614
true_179,179,0,real,Ahmeti tregon në cilat lagje do të ndërtohen shkolla të reja,1133,1194
true_180,180,0,real,Muhamet Kilaj: Xhelal Selmanaj - lojtari më i mirë i të gjitha kohërave,594,666
true_181,181,0,real,Gjenden 108 mijë euro në një autobus të ardhur nga Italia,552,610
true_182,182,0,real,"Vrau kryeplakun e fshatit ‘Mërqi’, dënohet 16 vite ekzekutori Tonin Ndoj",876,949
true_183,183,0,real,"Haradinaj-Stublla: Propozimet për shtimin e masave duke kërkuar testin negativ për hyrje nga kufiri me Shqipërinë, janë absurde",1092,1220
true_184,184,0,real,"Pyetje për Xhavit Halitin dhe grupin e tij, përmenden dy letrat e pa publikuara, njëra e Adem Jasharit dhe tjetra e Ilir Konushevcit",1324,1457
true_185,185,0,real,"Ish-kandidati për deputet i LDK-së, reagon ashpër ndaj Isa Mustafës, Skenderit dhe Thaçit",1294,1384
true_186,186,0,real,Aziz Makiqi: Disa njerëz në FHK kanë bërë çmos të mos na lejojnë t’i afrohemi Federatës,6000,6093
true_187,187,0,real,Shpend Ahmeti për qentë endacak: Cfarë ka ndodhur me 1.3 milion Euro të ndara për këtë çështje?,1423,1519
true_188,188,0,real,Infektohet politika! Pas Erion Veliajt edhe Ralf Gjoni me koronavirus: Dje kam rezultuar pozitiv…,2012,2110
true_189,189,0,real,Novosti: Tri vende janë të gatshme të rishqyrtojnë vendimin për njohjen e Kosovës,1104,1186
true_190,190,0,real,Koalicioni PDK-AAK-NISMA do të rebelonte qytetarët deri në destabilizim,7987,8059
true_191,191,0,real,"“Më është ndal oksigjeni”, deputetja Eliza Hoxha rrëfen betejën me COVID-19",3692,3768
true_192,192,0,real,Për këtë Kurban Bajram do të ndalohet therja e kafshëve në shtëpi,607,673
true_193,193,0,real,"Leksionet e Vuçiqëve, Daçiqëve e Gjuriqëve për shqiptarët",3771,3829
true_194,194,0,real,"Erion Veliaj me koronavirus: Miq, pas testit më njoftuan se dola pozitiv",624,697
true_195,195,0,real,Ky është deputeti i radhës nga Vetëvendosje i infektuar me COVID-19,504,572
true_196,196,0,real,Çfarë fshihet pas kërkesës për bisedime vetëm për marrëveshje finale me Serbinë?!,5652,5734
true_197,197,0,real,Kryetari i Prizrenit “ashpërsohet” me masat e Qeverisë,1193,1248
true_198,198,0,real,"Mediat serbe komentojnë rekrutimin e ushtarëve të rinj në Kosovë – përmendin Thaçin, “hamerat amerikan” dhe...",1209,1320
true_199,199,0,real,"Shumë vaksina në testim, çfarë po ndodh me to?",326,373
true_200,200,0,real,"Moti i nxehtë në Kosovë, temperaturat deri në 36C",401,451
true_201,201,0,real,"Nëse PDK-ja hyn në qeveri, LDK-ja del nga qeveria",1881,1931
true_202,202,0,real,Qeveria vendos për 25 masa të reja,1565,1600
true_203,203,0,real,"GAVI dhe COVAX: Çmimi i vaksinës prej 40 dollarësh ishte më i larti, aleanca diskutoi për një gamë çmimesh të ndryshme",1685,1804
true_204,204,0,real,"A do të falet Kurban Bajrami në xhami? – Zemaj: Tubimet në masë, nga dita e nesërme do të ndalohen",1022,1121
true_205,205,0,real,"Mbyllen të gjitha palestrat sportive, hapen pishinat e fitneset",301,365
true_206,206,0,real,Në Austri koronavirusi po vjen nga Ballkani,1432,1476
true_207,207,0,real,Masat e reja anti-covid: Ndalohen ceremonitë e varrimeve?,398,456
true_208,208,0,real,Rrëfimi i deputetes Eliza Hoxha: Pas 10 ditësh në spital e mposhta koronavirusin,3951,4032
true_209,209,0,real,"Befasia e mirë e tetorit? Fuaci më në fund nuk jep lajme të këqija, por i jep dy data për vaksinë",1972,2070
true_210,210,0,real,Shërohet nga COVID-19 drejtori i RTK-së,440,480
true_211,211,0,real,Google merr vendimin e papritur për punonjësit e vet,850,903
true_212,212,0,real,"I moshuari nga Ferizaj akuzon shumë rëndë Thaçin dhe Veselin, kërkon të hiqet fotografia e tyre",625,721
true_213,213,0,real,"Tetë të vdekur e numër rekord rastesh të reja me COVID-19, vjen alarmi i zyrtarit të LDK-së: Gjendja është shumë serioze",1229,1350
true_214,214,0,real,Kryetarët e komunave pajtohen me kryeministrin Hoti për vendosjen e masave të reja anti-COVID,4078,4172
true_215,215,0,real,Mjeku kanoset përmes facebook’ut për angazhimin e tij me pacientë të prekur nga COVID-19,2197,2286
true_216,216,0,real,Shpërthimi i luftës,10937,10957
true_217,217,0,real,"Covid-19: Deri 300 mijë të infektuar dhe 6 mijë jetë të humbura, çfarë po ndodh orët e fundit nëpër botë",2119,2224
true_218,218,0,real,CNN: Anglia dhe Skocia ‘ecën ndaras’ në luftën ndaj coronavirusit – por kjo mund të çojë në një ‘divorc të plotë’,5410,5524
true_219,219,0,real,"Policia ndalon ngjarjen, boksieri shqiptar nuk kursehet: Kush ma paguan...",2487,2562
true_220,220,0,real,Zgjidhni një vend dhe zbuloni se nga çfarë keni frikë më shumë në jetë!,1761,1833
true_221,221,0,real,"Emocionuese, mërgimtari takohet me prindërit pas pesë vitesh",727,788
true_222,222,0,real,Ky është personi nga Ferizaj që vdiq nga Koronavirusi,1270,1324
true_223,223,0,real,Tmerr për Kosovën kush po e përfaqëson! Skandali i Naim Mujës në BE mund të sjell dëme të pariparueshme,4274,4378
true_224,224,0,real,"Lamtumirë Afrim, lamtumirë njeriu i Gjeneratës së Republikës",2195,2256
true_225,225,0,real,"“Ose Dulla të ndryshoj qasjen, ose të largohet”",578,626
true_226,226,0,real,Hoti: Do të marrim të gjitha masat e nevojshme për ta ruajtur jetën e qytetarëve,650,731
true_227,227,0,real,Paralajmëron Hoti: Mund të shkojmë me masa ekstreme,5960,6012
true_228,228,0,real,Paralajmëron Hoti: Mund të shkojmë me masa ekstreme,5960,6012
true_229,229,0,real,Këta janë dy policët që dyshohet se rrahën 16 vjeçarin në Pejë,743,806
true_230,230,0,real,"Joschka Fischer: UÇK-ja, instrument i politikës amerikane",1113,1171
true_231,231,0,real,Kim Mehmeti: Kosova përfundoi me një qeveri koti,766,815
true_232,232,0,real,Këshilltari i Bidenit e vlerëson lart Thaçin,1056,1104
true_233,233,0,real,Koronavirusi/ Italia rikthen karantinën 14 ditore për 2 shtete të Ballkanit,1170,1246
true_234,234,0,real,"“Oj e shkretë”, kështu Vjosa Osmani i përgjigjet Avdullah Hotit",953,1017
true_235,235,0,real,"Vjosa Osmani: Diskutime për kufij ka pasur, vetë Hoti dikur kritikonte një gjë të tillë",1121,1209
true_236,236,0,real,Syla i AAK’së – Rexhep Selimit: Ndalini sulmet ndaj invalidit të UÇK’së,1655,1727
true_237,237,0,real,Labinot Tahiri vazhdon me deklaratat e tij skandaloze dhe të rrezikshme rreth Coronavirusit,2458,2550
true_238,238,0,real,Mehmeti: Hotin askush nuk e merr për seriozisht,1350,1398
true_239,239,0,real,"Nagavci i reagon Hotit: Hyseni të përfaqëson ty, e të dy e përfaqësoni Thaçin",625,703
true_240,240,0,real,Raporti evropian: Si e kapën shqiptarët tregun e drogës ne Evropë me çmime të ulëta dhe cilësi të lartë,9411,9515
true_241,241,0,real,Djali i Jakup Krasniqit me humor tregon se edhe ai është infektuar: Covid-19 na i lëshoi mjekrat,1210,1307
true_242,242,0,real,Ish-ambasadori i Holandës jep një paralajmërim për marrëveshjen finale me Serbinë,1302,1384
