"article_id","pair_id","label","label_name","word_count","sentence_count","character_count","avg_word_length","avg_sentence_length","title_length","content_length","exclamation_count","question_count","comma_count","quote_count","ellipsis_count","exclamation_ratio","question_ratio","uppercase_word_count","uppercase_word_ratio","uppercase_char_ratio","title_excessive_uppercase","e_count","c_count","diacritic_count","diacritic_ratio","possible_missing_diacritic_count","possible_missing_diacritic_words","sensational_count","sensational_ratio","sensational_found","source_indicator_count","source_indicator_ratio","source_indicators_found","uncertainty_count","uncertainty_ratio","uncertainty_found"
"true_11","11","0","real","116","8","614","4.16","14.5","80","533","0","0","2","0","0","0.0","0.0","0","0.0","0.043568","0","52","0","52","0.084691","0","","0","0.0","","0","0.0","","2","0.017241","mund të"
"true_12","12","0","real","251","15","1454","4.65","16.73","60","1393","5","0","19","0","0","0.01992","0.0","0","0.0","0.022318","0","116","0","116","0.07978","0","","0","0.0","","0","0.0","","3","0.011952","mund të, ka gjasa"
"true_13","13","0","real","222","6","1330","4.88","37.0","71","1258","0","0","8","8","0","0.0","0.0","0","0.0","0.024007","0","100","3","103","0.077444","0","","0","0.0","","2","0.009009","ministria, studimi","1","0.004505","mund të"
"true_14","14","0","real","131","8","795","4.79","16.38","75","719","0","0","7","0","0","0.0","0.0","0","0.0","0.054313","0","59","0","59","0.074214","0","","1","0.007634","skandal","0","0.0","","0","0.0",""
"true_15","15","0","real","290","22","1699","4.66","13.18","113","1585","0","0","23","8","2","0.0","0.0","0","0.0","0.04963","0","95","12","107","0.062978","0","","0","0.0","","1","0.003448","sipas","0","0.0",""
"true_16","16","0","real","82","5","464","4.46","16.4","45","418","0","0","10","6","0","0.0","0.0","1","0.012195","0.060109","0","32","3","35","0.075431","0","","0","0.0","","0","0.0","","0","0.0",""
"true_17","17","0","real","186","6","1146","5.04","31.0","61","1084","1","0","16","0","0","0.005376","0.0","0","0.0","0.067236","0","91","0","91","0.079407","0","","0","0.0","","1","0.005376","sipas","0","0.0",""
"true_18","18","0","real","190","8","1073","4.53","23.75","116","956","0","0","10","2","0","0.0","0.0","0","0.0","0.042056","0","66","5","71","0.06617","0","","0","0.0","","0","0.0","","0","0.0",""
"true_19","19","0","real","109","5","661","5.0","21.8","71","589","0","0","7","0","0","0.0","0.0","0","0.0","0.047706","0","52","2","54","0.081694","0","","0","0.0","","0","0.0","","0","0.0",""
"true_20","20","0","real","496","21","3163","5.16","23.62","88","3074","1","0","28","2","0","0.002016","0.0","14","0.028226","0.044922","0","217","2","219","0.069238","0","","0","0.0","","4","0.008065","sipas, ministria, institucioni","2","0.004032","thuhet, mund të"
"true_21","21","0","real","512","24","2794","4.31","21.33","40","2753","2","5","55","0","1","0.003906","0.009766","0","0.0","0.020436","0","229","2","231","0.082677","0","","0","0.0","","0","0.0","","0","0.0",""
"true_22","22","0","real","75","3","480","5.36","25.0","59","420","0","0","1","2","0","0.0","0.0","0","0.0","0.022388","0","32","0","32","0.066667","0","","0","0.0","","0","0.0","","0","0.0",""
"true_23","23","0","real","298","13","1635","4.32","22.92","53","1581","0","1","24","18","0","0.0","0.003356","2","0.006711","0.032659","0","103","0","103","0.062997","0","","0","0.0","","0","0.0","","0","0.0",""
"true_24","24","0","real","391","19","2177","4.41","20.58","37","2139","3","4","28","4","0","0.007673","0.01023","3","0.007673","0.034203","0","157","3","160","0.073496","0","","0","0.0","","0","0.0","","0","0.0",""
"true_25","25","0","real","247","8","1413","4.62","30.88","84","1328","0","1","4","10","0","0.0","0.004049","1","0.004049","0.037752","0","93","10","103","0.072895","0","","0","0.0","","0","0.0","","2","0.008097","mund të"
"true_26","26","0","real","154","8","831","4.34","19.25","129","701","2","0","5","2","0","0.012987","0.0","0","0.0","0.029985","0","64","2","66","0.079422","0","","0","0.0","","0","0.0","","0","0.0",""
"true_27","27","0","real","244","11","1506","5.11","22.18","98","1407","0","0","21","0","0","0.0","0.0","2","0.008197","0.053815","0","116","4","120","0.079681","0","","0","0.0","","0","0.0","","1","0.004098","thuhet"
"true_28","28","0","real","217","8","1349","5.12","27.12","71","1277","3","0","8","0","0","0.013825","0.0","2","0.009217","0.048605","0","115","1","116","0.08599","0","","0","0.0","","0","0.0","","1","0.004608","mund të"
"true_29","29","0","real","2275","120","13918","4.85","18.96","138","13779","2","1","198","56","4","0.000879","0.00044","36","0.015824","0.06405","0","886","75","961","0.069047","0","","0","0.0","","6","0.002637","sipas, ministria, policia, institucioni","3","0.001319","dyshohet, ndoshta, mund të"
"true_30","30","0","real","362","15","2325","5.15","24.13","85","2239","0","0","14","0","0","0.0","0.0","10","0.027624","0.05971","0","154","2","156","0.067097","0","","0","0.0","","0","0.0","","1","0.002762","mund të"
"true_31","31","0","real","175","14","1010","4.63","12.5","75","934","9","0","9","2","0","0.051429","0.0","3","0.017143","0.046914","0","73","5","78","0.077228","1","eshte","0","0.0","","0","0.0","","1","0.005714","mund të"
"true_32","32","0","real","157","6","1137","5.31","26.17","81","1055","0","0","19","3","0","0.0","0.0","2","0.012739","0.073141","0","59","4","63","0.055409","0","","0","0.0","","5","0.031847","sipas, ministria","0","0.0",""
"true_33","33","0","real","488","16","2969","4.99","30.5","101","2867","1","0","24","6","0","0.002049","0.0","4","0.008197","0.019729","0","242","3","245","0.082519","0","","0","0.0","","1","0.002049","sipas","0","0.0",""
"true_34","34","0","real","58","4","298","4.14","14.5","42","255","0","0","0","0","0","0.0","0.0","0","0.0","0.045833","0","24","0","24","0.080537","0","","0","0.0","","0","0.0","","0","0.0",""
"true_35","35","0","real","90","6","535","4.72","15.0","61","473","0","0","6","2","0","0.0","0.0","0","0.0","0.044706","0","36","0","36","0.06729","0","","0","0.0","","0","0.0","","0","0.0",""
"true_36","36","0","real","363","10","2102","4.68","36.3","111","1990","0","2","21","13","0","0.0","0.00551","0","0.0","0.042453","0","153","15","168","0.079924","0","","0","0.0","","0","0.0","","2","0.00551","ndoshta, mund të"
"true_37","37","0","real","119","5","761","5.28","23.8","127","633","0","0","3","6","0","0.0","0.0","0","0.0","0.022293","0","70","4","74","0.09724","0","","0","0.0","","0","0.0","","0","0.0",""
"true_38","38","0","real","392","14","2229","4.49","28.0","85","2143","0","0","26","10","0","0.0","0.0","1","0.002551","0.042711","0","86","4","90","0.040377","1","kosove","0","0.0","","0","0.0","","0","0.0",""
"true_39","39","0","real","264","11","1470","4.46","24.0","68","1401","0","0","14","5","0","0.0","0.0","2","0.007576","0.053663","0","104","3","107","0.072789","0","","0","0.0","","2","0.007576","sipas, policia","0","0.0",""
"true_40","40","0","real","617","21","3667","4.84","29.38","85","3581","0","0","44","10","1","0.0","0.0","3","0.004862","0.0269","0","282","18","300","0.081811","0","","0","0.0","","1","0.001621","raportoi","2","0.003241","thuhet"
"true_41","41","0","real","185","12","1099","4.66","15.42","112","986","0","0","13","2","0","0.0","0.0","2","0.010811","0.038328","0","80","4","84","0.076433","0","","0","0.0","","1","0.005405","policia","0","0.0",""
"true_42","42","0","real","349","9","1946","4.35","38.78","144","1801","0","0","22","0","0","0.0","0.0","1","0.002865","0.031641","0","29","0","29","0.014902","2","kosove, nje","0","0.0","","1","0.002865","sipas","0","0.0",""
"true_43","43","0","real","315","18","1768","4.5","17.5","124","1643","0","1","18","2","1","0.0","0.003175","1","0.003175","0.043262","0","114","1","115","0.065045","0","","0","0.0","","1","0.003175","sipas","0","0.0",""
"true_44","44","0","real","179","15","1085","4.93","11.93","52","1032","0","2","8","2","0","0.0","0.011173","4","0.022346","0.063709","0","53","4","57","0.052535","0","","0","0.0","","1","0.005587","sipas","1","0.005587","thuhet"
"true_45","45","0","real","213","7","1259","4.83","30.43","94","1164","0","0","12","6","0","0.0","0.0","2","0.00939","0.039961","0","93","1","94","0.074662","0","","0","0.0","","1","0.004695","sipas","0","0.0",""
"true_46","46","0","real","118","4","645","4.31","29.5","113","531","0","0","9","8","0","0.0","0.0","0","0.0","0.04142","0","33","0","33","0.051163","0","","0","0.0","","0","0.0","","0","0.0",""
"true_47","47","0","real","207","8","1314","5.22","25.88","64","1249","1","0","15","2","1","0.004831","0.0","2","0.009662","0.045412","0","108","2","110","0.083714","0","","1","0.004831","urgjente","0","0.0","","0","0.0",""
"true_48","48","0","real","130","6","767","4.82","21.67","91","675","1","0","7","0","0","0.007692","0.0","0","0.0","0.069021","0","42","3","45","0.05867","0","","0","0.0","","0","0.0","","0","0.0",""
"true_49","49","0","real","299","8","1882","5.2","37.38","36","1845","0","0","22","2","0","0.0","0.0","1","0.003344","0.048938","0","132","5","137","0.072795","0","","0","0.0","","0","0.0","","0","0.0",""
"true_50","50","0","real","775","47","4786","5.01","16.49","58","4727","0","5","53","8","0","0.0","0.006452","6","0.007742","0.038213","0","319","3","322","0.06728","0","","0","0.0","","3","0.003871","ministria, policia","0","0.0",""
"true_51","51","0","real","3085","124","19529","5.07","24.88","102","19426","1","0","299","41","0","0.000324","0.0","14","0.004538","0.051287","0","1304","51","1355","0.069384","0","","1","0.000324","tronditëse","4","0.001297","policia","4","0.001297","thuhet, dyshohet, mund të"
"true_52","52","0","real","1770","71","10400","4.77","24.93","87","10312","4","10","67","22","0","0.00226","0.00565","5","0.002825","0.033768","0","785","26","811","0.077981","0","","0","0.0","","2","0.00113","sipas, studimi","13","0.007345","ndoshta, mund të"
"true_53","53","0","real","161","11","1058","5.07","14.64","51","1006","0","0","14","2","0","0.0","0.0","1","0.006211","0.045343","0","66","0","66","0.062382","0","","0","0.0","","0","0.0","","0","0.0",""
"true_54","54","0","real","150","3","812","4.38","50.0","52","759","0","0","1","0","0","0.0","0.0","1","0.006667","0.038052","0","60","0","60","0.073892","0","","0","0.0","","0","0.0","","2","0.013333","thuhet, mund të"
"true_55","55","0","real","257","14","1559","4.94","18.36","67","1491","0","1","13","2","0","0.0","0.003891","1","0.003891","0.025217","0","101","4","105","0.067351","1","nje","0","0.0","","2","0.007782","sipas, raporti","1","0.003891","mund të"
"true_56","56","0","real","245","18","1448","4.76","13.61","40","1407","0","0","18","11","0","0.0","0.0","0","0.0","0.037037","0","94","0","94","0.064917","0","","0","0.0","","0","0.0","","0","0.0",""
"true_57","57","0","real","65","3","369","4.58","21.67","79","289","0","0","4","0","0","0.0","0.0","0","0.0","0.030201","0","30","0","30","0.081301","0","","0","0.0","","0","0.0","","0","0.0",""
"true_58","58","0","real","242","10","1329","4.35","24.2","56","1272","1","0","10","4","0","0.004132","0.0","0","0.0","0.021842","0","102","4","106","0.079759","0","","0","0.0","","0","0.0","","1","0.004132","thuhet"
"true_59","59","0","real","261","8","1713","5.51","32.62","88","1624","0","0","9","2","0","0.0","0.0","0","0.0","0.020891","0","116","6","122","0.07122","0","","0","0.0","","1","0.003831","sipas","0","0.0",""
"true_60","60","0","real","262","14","1440","4.33","18.71","67","1372","0","0","13","2","0","0.0","0.0","0","0.0","0.014991","0","139","9","148","0.102778","0","","0","0.0","","1","0.003817","sipas","0","0.0",""
"true_61","61","0","real","185","12","1032","4.36","15.42","87","944","6","0","17","4","0","0.032432","0.0","1","0.005405","0.042184","0","65","0","65","0.062984","0","","0","0.0","","0","0.0","","0","0.0",""
"true_62","62","0","real","154","8","1037","5.53","19.25","85","951","0","0","16","4","0","0.0","0.0","0","0.0","0.047114","0","58","0","58","0.055931","0","","0","0.0","","0","0.0","","1","0.006494","mund të"
"true_63","63","0","real","524","22","2840","4.35","23.82","107","2732","0","0","23","2","0","0.0","0.0","16","0.030534","0.052216","0","212","4","216","0.076056","0","","0","0.0","","0","0.0","","0","0.0",""
"true_64","64","0","real","148","7","890","4.84","21.14","80","809","0","0","12","8","0","0.0","0.0","1","0.006757","0.053073","0","46","4","50","0.05618","0","","0","0.0","","0","0.0","","0","0.0",""
"true_65","65","0","real","357","14","2026","4.61","25.5","84","1941","2","3","13","2","0","0.005602","0.008403","0","0.0","0.02497","0","141","4","145","0.07157","0","","0","0.0","","1","0.002801","sipas","0","0.0",""
"true_66","66","0","real","209","7","1283","4.98","29.86","62","1220","0","0","9","0","0","0.0","0.0","1","0.004785","0.038536","0","91","1","92","0.071707","0","","0","0.0","","0","0.0","","0","0.0",""
"true_67","67","0","real","216","12","1333","5.05","18.0","64","1268","0","0","23","3","0","0.0","0.0","0","0.0","0.040441","0","109","4","113","0.084771","0","","0","0.0","","1","0.00463","sipas","0","0.0",""
"true_68","68","0","real","190","7","1197","5.15","27.14","92","1104","1","0","11","8","0","0.005263","0.0","2","0.010526","0.060327","0","94","0","94","0.07853","0","","0","0.0","","0","0.0","","0","0.0",""
"true_69","69","0","real","591","24","3687","5.05","24.62","41","3645","0","0","29","4","0","0.0","0.0","3","0.005076","0.030883","0","251","4","255","0.069162","0","","0","0.0","","4","0.006768","sipas, bëri të ditur, raporti","0","0.0",""
"true_70","70","0","real","199","6","1123","4.51","33.17","54","1068","0","0","10","2","0","0.0","0.0","2","0.01005","0.047884","0","96","1","97","0.086376","0","","0","0.0","","1","0.005025","ministria","1","0.005025","mund të"
"true_71","71","0","real","245","6","1515","5.04","40.83","72","1442","0","0","13","0","0","0.0","0.0","0","0.0","0.047773","0","151","2","153","0.10099","0","","0","0.0","","0","0.0","","0","0.0",""
"true_72","72","0","real","1921","98","10987","4.56","19.6","92","10894","0","0","94","36","1","0.0","0.0","2","0.001041","0.035555","0","841","22","863","0.078547","0","","0","0.0","","2","0.001041","sipas","1","0.000521","mund të"
"true_73","73","0","real","270","8","1600","4.74","33.75","65","1534","0","0","21","8","0","0.0","0.0","1","0.003704","0.034348","0","110","1","111","0.069375","0","","0","0.0","","0","0.0","","2","0.007407","thuhet, dyshohet"
"true_74","74","0","real","1921","98","10987","4.56","19.6","92","10894","0","0","94","36","1","0.0","0.0","2","0.001041","0.035555","0","841","22","863","0.078547","0","","0","0.0","","2","0.001041","sipas","1","0.000521","mund të"
"true_75","75","0","real","86","7","542","5.01","12.29","53","488","0","0","3","0","0","0.0","0.0","0","0.0","0.032483","0","33","0","33","0.060886","0","","0","0.0","","1","0.011628","sipas","0","0.0",""
"true_76","76","0","real","1921","98","10987","4.56","19.6","92","10894","0","0","94","36","1","0.0","0.0","2","0.001041","0.035555","0","841","22","863","0.078547","0","","0","0.0","","2","0.001041","sipas","1","0.000521","mund të"
"true_77","77","0","real","127","7","705","4.35","18.14","60","644","2","1","2","0","2","0.015748","0.007874","3","0.023622","0.074275","0","40","4","44","0.062411","0","","0","0.0","","0","0.0","","0","0.0",""
"true_78","78","0","real","119","8","711","4.85","14.88","77","633","0","0","8","4","0","0.0","0.0","1","0.008403","0.064348","0","53","0","53","0.074543","0","","0","0.0","","0","0.0","","2","0.016807","thuhet"
"true_79","79","0","real","171","7","1002","4.84","24.43","50","951","0","0","2","0","0","0.0","0.0","0","0.0","0.035067","0","74","5","79","0.078842","0","","0","0.0","","0","0.0","","0","0.0",""
"true_80","80","0","real","151","5","897","4.84","30.2","105","791","0","0","9","6","0","0.0","0.0","1","0.006623","0.053352","0","61","6","67","0.074693","0","","0","0.0","","0","0.0","","1","0.006623","mund të"
"true_81","81","0","real","231","20","1335","4.65","11.55","37","1297","12","0","10","4","1","0.051948","0.0","3","0.012987","0.041007","0","59","4","63","0.047191","2","eshte, per","0","0.0","","1","0.004329","ministria","0","0.0",""
"true_82","82","0","real","419","13","2437","4.75","32.23","82","2354","0","0","12","10","1","0.0","0.0","3","0.00716","0.032696","0","193","16","209","0.085761","0","","0","0.0","","1","0.002387","sipas","1","0.002387","mund të"
"true_83","83","0","real","306","12","1803","4.77","25.5","73","1729","0","0","28","4","0","0.0","0.0","4","0.013072","0.03989","0","122","3","125","0.069329","0","","0","0.0","","0","0.0","","1","0.003268","ka gjasa"
"true_84","84","0","real","273","15","1609","4.73","18.2","75","1533","0","0","9","7","0","0.0","0.0","0","0.0","0.025581","0","148","4","152","0.094469","0","","0","0.0","","2","0.007326","studimi","1","0.003663","mund të"
"true_85","85","0","real","186","5","1220","5.49","37.2","78","1141","0","0","7","4","0","0.0","0.0","0","0.0","0.033366","0","70","3","73","0.059836","0","","0","0.0","","2","0.010753","sipas","0","0.0",""
"true_86","86","0","real","212","6","1343","5.12","35.33","53","1289","0","0","10","10","0","0.0","0.0","7","0.033019","0.064695","0","99","0","99","0.073716","0","","0","0.0","","1","0.004717","sipas","2","0.009434","thuhet"
"true_87","87","0","real","98","5","577","4.67","19.6","62","514","0","0","8","8","0","0.0","0.0","0","0.0","0.041485","0","41","0","41","0.071057","0","","0","0.0","","1","0.010204","bëri të ditur","0","0.0",""
"true_88","88","0","real","1162","67","6948","4.78","17.34","40","6907","0","2","65","26","0","0.0","0.001721","3","0.002582","0.030445","0","576","15","591","0.08506","0","","0","0.0","","0","0.0","","3","0.002582","mund të"
"true_89","89","0","real","219","13","1304","4.72","16.85","66","1237","0","0","17","4","0","0.0","0.0","3","0.013699","0.048403","0","83","0","83","0.06365","0","","0","0.0","","0","0.0","","0","0.0",""
"true_90","90","0","real","247","17","1377","4.45","14.53","71","1305","0","0","14","4","0","0.0","0.0","6","0.024291","0.050045","0","105","1","106","0.076979","0","","0","0.0","","0","0.0","","0","0.0",""
"true_91","91","0","real","670","35","4175","5.08","19.14","75","4099","0","1","24","10","0","0.0","0.001493","5","0.007463","0.044543","0","282","2","284","0.068024","0","","0","0.0","","1","0.001493","sipas","1","0.001493","ndoshta"
"true_92","92","0","real","920","67","5523","4.8","13.73","41","5481","2","3","34","23","0","0.002174","0.003261","5","0.005435","0.032141","0","429","0","429","0.077675","0","","0","0.0","","1","0.001087","sipas","3","0.003261","mund të"
"true_93","93","0","real","589","30","3391","4.6","19.63","84","3306","0","0","29","6","0","0.0","0.0","0","0.0","0.02031","0","317","18","335","0.098791","0","","0","0.0","","7","0.011885","sipas, bëri të ditur, policia","6","0.010187","dyshohet, mund të"
"true_94","94","0","real","2364","242","13359","4.45","9.77","14","13344","21","14","152","56","0","0.008883","0.005922","0","0.0","0.025193","0","941","23","964","0.072161","1","nje","0","0.0","","1","0.000423","sipas","7","0.002961","mund të"
"true_95","95","0","real","591","24","3687","5.05","24.62","41","3645","0","0","29","4","0","0.0","0.0","3","0.005076","0.030883","0","251","4","255","0.069162","0","","0","0.0","","4","0.006768","sipas, bëri të ditur, raporti","0","0.0",""
"true_96","96","0","real","53","11","400","5.72","4.82","65","334","0","0","0","0","0","0.0","0.0","1","0.018868","0.069307","0","19","0","19","0.0475","0","","0","0.0","","0","0.0","","0","0.0",""
"true_97","97","0","real","1496","101","8059","4.31","14.81","32","8026","1","0","22","0","0","0.000668","0.0","0","0.0","0.018001","0","639","20","659","0.081772","0","","0","0.0","","2","0.001337","sipas","13","0.00869","mund të"
"true_98","98","0","real","541","16","3940","6.06","33.81","50","3889","2","0","85","4","0","0.003697","0.0","3","0.005545","0.145082","0","107","1","108","0.027411","0","","0","0.0","","0","0.0","","0","0.0",""
"true_99","99","0","real","105","6","581","4.5","17.5","67","513","0","0","3","0","0","0.0","0.0","0","0.0","0.02537","0","29","0","29","0.049914","0","","0","0.0","","0","0.0","","0","0.0",""
"true_100","100","0","real","258","11","1480","4.64","23.45","73","1406","0","0","11","4","0","0.0","0.0","0","0.0","0.025963","0","112","1","113","0.076351","0","","0","0.0","","0","0.0","","1","0.003876","mund të"
"true_101","101","0","real","597","23","3341","4.49","25.96","62","3278","0","1","23","8","0","0.0","0.001675","1","0.001675","0.027996","0","286","1","287","0.085902","0","","0","0.0","","0","0.0","","4","0.0067","mund të"
"true_102","102","0","real","176","16","1042","4.76","11.0","56","985","0","0","9","8","0","0.0","0.0","1","0.005682","0.040621","0","65","2","67","0.064299","0","","0","0.0","","1","0.005682","sipas","0","0.0",""
"true_103","103","0","real","248","17","1381","4.44","14.59","75","1305","0","0","14","4","0","0.0","0.0","6","0.024194","0.050817","0","105","1","106","0.076756","0","","0","0.0","","0","0.0","","0","0.0",""
"true_104","104","0","real","266","9","1685","5.2","29.56","100","1584","0","0","15","12","0","0.0","0.0","1","0.003759","0.041394","0","112","6","118","0.07003","0","","0","0.0","","1","0.003759","sipas","1","0.003759","mund të"
"true_105","105","0","real","89","2","604","5.2","44.5","30","573","0","0","16","1","0","0.0","0.0","0","0.0","0.056156","0","39","2","41","0.067881","0","","0","0.0","","1","0.011236","sipas","0","0.0",""
"true_106","106","0","real","158","10","861","4.32","15.8","79","781","0","0","6","6","0","0.0","0.0","4","0.025316","0.06305","0","68","8","76","0.088269","0","","0","0.0","","0","0.0","","0","0.0",""
"true_107","107","0","real","115","4","684","4.77","28.75","91","592","0","0","10","6","0","0.0","0.0","0","0.0","0.04562","0","42","6","48","0.070175","0","","0","0.0","","0","0.0","","0","0.0",""
"true_108","108","0","real","242","12","1421","4.79","20.17","80","1340","0","1","9","2","0","0.0","0.004132","4","0.016529","0.044003","0","90","0","90","0.063336","0","","0","0.0","","0","0.0","","2","0.008264","mund të"
"true_109","109","0","real","584","19","3411","4.75","30.74","142","3268","0","0","34","10","1","0.0","0.0","3","0.005137","0.02528","0","253","4","257","0.075344","0","","0","0.0","","1","0.001712","sipas","3","0.005137","mund të"
"true_110","110","0","real","270","15","1567","4.7","18.0","73","1493","0","0","12","3","0","0.0","0.0","1","0.003704","0.045777","0","113","3","116","0.074027","0","","0","0.0","","0","0.0","","0","0.0",""
"true_111","111","0","real","149","6","919","5.03","24.83","93","825","0","0","14","6","0","0.0","0.0","1","0.006711","0.025401","0","78","3","81","0.088139","0","","0","0.0","","0","0.0","","0","0.0",""
"true_112","112","0","real","74","3","481","5.38","24.67","60","420","0","0","3","0","0","0.0","0.0","1","0.013514","0.035176","0","26","4","30","0.06237","0","","0","0.0","","0","0.0","","1","0.013514","thuhet"
"true_113","113","0","real","215","13","1385","4.97","16.54","62","1322","0","0","31","0","0","0.0","0.0","0","0.0","0.039289","0","116","7","123","0.088809","0","","1","0.004651","urgjente","0","0.0","","0","0.0",""
"true_114","114","0","real","305","17","1895","5.07","17.94","43","1851","0","2","23","9","0","0.0","0.006557","0","0.0","0.041558","0","100","2","102","0.053826","0","","0","0.0","","1","0.003279","sipas","1","0.003279","mund të"
"true_115","115","0","real","452","19","2809","4.97","23.79","77","2731","0","0","41","4","0","0.0","0.0","21","0.04646","0.067592","0","237","0","237","0.084372","0","","0","0.0","","2","0.004425","sipas","1","0.002212","mund të"
"true_116","116","0","real","1192","33","7237","4.91","36.12","77","7159","0","0","97","16","0","0.0","0.0","2","0.001678","0.025637","0","445","10","455","0.062871","0","","0","0.0","","11","0.009228","sipas","2","0.001678","thuhet"
"true_117","117","0","real","286","13","1752","4.97","22.0","66","1685","0","0","12","0","0","0.0","0.0","0","0.0","0.021846","0","142","0","142","0.08105","0","","0","0.0","","1","0.003497","sipas","0","0.0",""
"true_118","118","0","real","143","9","824","4.66","15.89","81","742","2","0","6","5","0","0.013986","0.0","0","0.0","0.072398","0","45","0","45","0.054612","0","","0","0.0","","0","0.0","","0","0.0",""
"true_119","119","0","real","165","8","891","4.24","20.62","76","814","0","0","11","2","0","0.0","0.0","0","0.0","0.032904","0","59","0","59","0.066218","0","","0","0.0","","1","0.006061","sipas","0","0.0",""
"true_120","120","0","real","84","6","532","5.17","14.0","50","481","0","0","6","2","0","0.0","0.0","1","0.011905","0.052995","0","31","0","31","0.058271","0","","0","0.0","","1","0.011905","bëri të ditur","0","0.0",""
"true_121","121","0","real","973","57","5151","4.11","17.07","85","5065","1","6","41","8","1","0.001028","0.006166","5","0.005139","0.038529","0","315","18","333","0.064648","0","","0","0.0","","0","0.0","","0","0.0",""
"true_122","122","0","real","1181","47","6828","4.67","25.13","92","6735","3","2","69","24","0","0.00254","0.001693","4","0.003387","0.034683","0","531","37","568","0.083187","0","","0","0.0","","3","0.00254","sipas","5","0.004234","mund të"
"true_123","123","0","real","386","17","2347","4.92","22.71","88","2258","0","0","17","6","0","0.0","0.0","2","0.005181","0.024737","0","188","2","190","0.080954","0","","0","0.0","","0","0.0","","3","0.007772","mund të"
"true_124","124","0","real","101","3","644","5.26","33.67","79","564","0","0","7","0","0","0.0","0.0","2","0.019802","0.037736","0","30","0","30","0.046584","0","","0","0.0","","0","0.0","","0","0.0",""
"true_125","125","0","real","293","18","1651","4.48","16.28","67","1583","0","2","21","12","0","0.0","0.006826","4","0.013652","0.056068","0","120","0","120","0.072683","0","","0","0.0","","0","0.0","","2","0.006826","ndoshta"
"true_126","126","0","real","212","10","1334","5.14","21.2","69","1264","1","0","19","2","0","0.004717","0.0","4","0.018868","0.04775","0","77","2","79","0.05922","0","","0","0.0","","2","0.009434","sipas","0","0.0",""
"true_127","127","0","real","184","10","1140","4.98","18.4","97","1042","2","1","15","2","0","0.01087","0.005435","0","0.0","0.034896","0","53","5","58","0.050877","0","","0","0.0","","2","0.01087","sipas","0","0.0",""
"true_128","128","0","real","297","10","1672","4.53","29.7","113","1558","1","0","19","4","0","0.003367","0.0","4","0.013468","0.049364","0","142","0","142","0.084928","0","","0","0.0","","0","0.0","","3","0.010101","mund të"
"true_129","129","0","real","365","20","2084","4.6","18.25","96","1987","0","0","15","12","0","0.0","0.0","1","0.00274","0.035842","0","122","10","132","0.06334","0","","0","0.0","","1","0.00274","sipas","0","0.0",""
