external_id,label,topic,title,exact_training_title,exact_training_content,exact_training_text,max_training_similarity,nearest_training_article_id,nearest_training_title,high_similarity_to_training,max_external_similarity,nearest_external_id,high_similarity_within_external
EXT-R-011,real,ekonomi,INSTAT raporton rritje të PBB-së në tremujorin e parë të vitit 2026,False,False,False,0.281819,true_1721,Shqipërisë i bien ndjeshëm turistët si pasojë e pandemisë,False,0.170353,EXT-R-012,False
EXT-R-012,real,ekonomi,Eksportet dhe importet e mallrave rriten në qershor 2026,False,False,False,0.260311,true_1617,Qeveria paralajmëron vendim të ri për reciprocitetin me Serbinë,False,0.229582,EXT-R-010,False
EXT-R-013,real,sociale,Fondi Social 2026 financon katërmbëdhjetë shërbime të reja,False,False,False,0.211003,true_926,Rezultatet nga testet sterologjike për Coronavirus,False,0.208224,EXT-R-016,False
EXT-R-014,real,sociale,Mbahet finalja e Festivalit Kombëtar të Shkencës,False,False,False,0.196333,true_1081,"Mësimi në shtator mund të fillojë nga ekrani, ekspertët rekomandojnë më shumë udhëzime",False,0.220896,EXT-R-015,False
EXT-R-015,real,sociale,Shkolla 22 Tetori në Berat rikonstruktohet për rreth 500 nxënës,False,False,False,0.170146,true_1081,"Mësimi në shtator mund të fillojë nga ekrani, ekspertët rekomandojnë më shumë udhëzime",False,0.220896,EXT-R-014,False
EXT-R-016,real,sociale,Dyfishohet mbështetja për fëmijët dhe të rinjtë me aftësi të kufizuara,False,False,False,0.187814,true_1008,Jeta virtuale e fëmijëve dhe sfidat e pandemisë,False,0.208224,EXT-R-013,False
EXT-R-017,real,teknologji,Nis faza e parë e projektit Smart City në njëzet shkolla të Tiranës,False,False,False,0.15276,true_853,Dështon ndërtimi i stazës 'Pump Track' në Prizren,False,0.240098,EXT-R-020,False
EXT-R-018,real,teknologji,Samiti Shqipëri-Izrael mbledh kompani të teknologjisë dhe sigurisë kibernetike,False,False,False,0.266302,fake_1547,"Izraeli apo Turqia, cila e ka u shtrinë më të fortë",False,0.121948,EXT-R-002,False
EXT-R-019,real,teknologji,Prezantohet shoqëria publike Albanian Digital Solutions,False,False,False,0.147242,true_906,Oda Ekonomike kërkon të digjitalizohen disa shërbime dhe të licencohen laboratoret private,False,0.219754,EXT-R-001,False
EXT-R-020,real,teknologji,Administrata publike përdor mjete të inteligjencës artificiale në procesin e integrimit,False,False,False,0.176431,true_1646,Mbretëria e Bashkuar përkrah MASH-in në projektet për digjitalizimin e arsimit dhe mësimin në distancë,False,0.240098,EXT-R-017,False
EXT-F-001,fake,politikë,Ramush Haradinaj dhe bashkëshortja bashkëpunojnë me Vuçiqin për Expo 27,False,False,False,0.258995,true_618,Haradinaj “godet” Hotin: Pse nuk e pyete edhe ti Vuçiqin a din shqip?,False,0.131166,EXT-F-016,False
EXT-F-002,fake,politikë,Albin Kurti paraqitet me një librezë anëtarësie të UDB-së,False,False,False,0.266723,fake_1002,E besoni apo jo? Shikojeni si kapet në Aeroport Albin Kurti,False,0.253254,EXT-F-017,False
EXT-F-003,fake,politikë,Vjosa Osmani i puth dorën Albin Kurtit gjatë bisedimeve politike,False,False,False,0.255527,fake_1108,Vjosa po vjen me parti të re politike me 9 deputet!,False,0.254884,EXT-F-019,False
EXT-F-004,fake,politikë,Erdogan kërcënon Greqinë pas protestave në Shqipëri,False,False,False,0.245958,true_1781,"Turqia tërhiqet nga kërkimi i gazit, Greqia e fton për dialog",False,0.108123,EXT-F-009,False
EXT-F-005,fake,shëndetësi,Një recetë e mjekut largon parazitët nga organizmi,False,False,False,0.156942,true_1260,Receta çudibërëse me farat e lirit: Të dobësohemi shëndetshëm dhe sigurt,False,0.285387,EXT-F-007,False
EXT-F-006,fake,shëndetësi,Urologu Ajet Xhafa zbulon një ilaç të ri kundër prostatitit,False,False,False,0.162244,true_1951,Jakupi: Edhe Kosova do të bëjë përpjekje për të siguruar disa doza të ilaçit që trajton pacientët me COVID-19,False,0.089467,EXT-F-008,False
EXT-F-007,fake,shëndetësi,Një lugë para gjumit largon të gjithë parazitët brenda natës,False,False,False,0.213866,true_631,4 mënyra natyrale si të largoni rrudhat nga fytyra,False,0.285387,EXT-F-005,False
EXT-F-008,fake,shëndetësi,Një metodë e re rikthen dëgjimin dhe largon zhurmën në vesh,False,False,False,0.159502,true_1238,"Almeda Abazi rikthehet në ekran, çfarë është projekti që po bën kuriozë fansat?",False,0.193837,EXT-F-007,False
EXT-F-009,fake,ekonomi,Kurti njofton investim 500 milionë euro në energji të rinovueshme,False,False,False,0.206208,true_999,Si Australia mund të shfrytëzojë baticat e detit për energji?,False,0.163995,EXT-F-010,False
EXT-F-010,fake,ekonomi,Arben Gashi është ndër pesë personat më të pasur në Gjermani,False,False,False,0.227847,true_14,"Kjo është pasuria e Gazmend Gjyshincës, deputetit që u sulmua dje në Kuvend",False,0.202218,EXT-F-020,False
EXT-F-011,fake,ekonomi,Kredi me interes një për qind miratohet brenda 48 orëve,False,False,False,0.15544,true_1555,Tregu evropian i automjeteve shënon rënie,False,0.127467,EXT-R-009,False
EXT-F-012,fake,ekonomi,Mega Mall dhuron qindra soba dhe enë gatimi për ndjekësit,False,False,False,0.117785,fake_434,"Lajm qe duhet ta din te gjithe, Viber do behet me para detaje ekskluzive",False,0.100905,EXT-R-009,False
EXT-F-013,fake,sociale,Albin Kurti dhe Agim Bahtiri kanë vdekur nga temperaturat e larta,False,False,False,0.18847,true_319,"Parashikimi i motit në Shqipëri, temperaturat të larta deri në 40°C",False,0.20281,EXT-F-002,False
EXT-F-014,fake,sociale,Njësia Speciale ndërhyn gjatë rrënimit të objekteve pranë Ujmanit,False,False,False,0.166173,fake_18,"Gjermania jep lajmin e mirë për punëtorët nga Kosova, vendimi që mori për lejet e punës",False,0.102569,EXT-R-005,False
EXT-F-015,fake,sociale,Adriatik Kelmendi zhvillonte takime me një të dënuar për spiunazh,False,False,False,0.172541,fake_500,"Ramiz Kelmendi: ‘Rinia e Kosovës kan qejf me pi kafe, jo me punu.’ (VIDEO)",False,0.089084,EXT-F-007,False
EXT-F-016,fake,sociale,Qeveria e Kosovës ndryshon pesë rregulla të skemave pensionale,False,False,False,0.203611,true_1050,Ministri Reçica: Me projektligjin e ri u njihet e drejta në pension kontributiv punëtorëve të viteve të 90-ta,False,0.132756,EXT-F-008,False
EXT-F-017,fake,teknologji,Albin Kurti fotografohet pranë Sllobodan Millosheviqit,False,False,False,0.269867,fake_1474,Christopher Hill rrë.fen momente të lu.ftës në Kosovë: Çfarë më tha Millosheviçi pas takimit me UÇK-në,False,0.253254,EXT-F-002,False
EXT-F-018,fake,teknologji,"Thaçi, Mustafa dhe Rama mbajnë kapela me simbole nacionaliste serbe",False,False,False,0.17874,true_212,"I moshuari nga Ferizaj akuzon shumë rëndë Thaçin dhe Veselin, kërkon të hiqet fotografia e tyre",False,0.197146,EXT-F-017,False
EXT-F-019,fake,teknologji,Politikanë shqiptarë shfaqen duke u përqafuar dhe puthur,False,False,False,0.169956,fake_1179,"Bekim Jashari: Albin Kurti , ‘Nuse e mirë po duket por t’ja shohim çeizin’!",False,0.254884,EXT-F-003,False
EXT-F-020,fake,teknologji,Dejona Mihali u mëson greqisht deputetëve të Vetëvendosjes,False,False,False,0.240947,fake_1758,Zbulohet: A ka të infektuar me COVID-19 në Lëvizjen Vetëvendosje?!,False,0.202218,EXT-F-010,False
