external_id,title,content,true_label,true_label_number,binary_prediction,binary_prediction_number,probability_real,probability_fake,probability_sum,decision,topic,source,source_group,published_date,prediction_correct,error_type,predicted_confidence,word_count,text_length,exclamation_count,uppercase_ratio,diacritic_ratio,sensational_words_found,source_markers_found,uncertainty_markers_found,length_group,interpretation
EXT-R-012,Eksportet dhe importet e mallrave rriten në qershor 2026,"INSTAT raportoi se eksportet e mallrave në qershor arritën 35.4 miliardë lekë, ndërsa importet 83.5 miliardë lekë. Krahasuar me një vit më parë, eksportet u rritën 13.6 për qind dhe importet 9.1 për qind.",real,0,fake,1,0.2422,0.7578,1.0,likely_fake,ekonomi,INSTAT,institutional_statistics,2026-07-17,False,false_positive,0.7578,38,261,0,0.040816,0.05364,,raportoi,,short_38_44,Rasti real u shty drejt fake; përmbledhja shumë e shkurtër mund të ketë ngjarë me anën e shkurtër të corpus-it (38 fjalë kundrejt medianës 206 për real në test set). Burimi institucional është vetëm metadata dhe modeli nuk e sheh atë si feature. U gjetën markerë burimi: raportoi.
EXT-R-013,Fondi Social 2026 financon katërmbëdhjetë shërbime të reja,"Fondi Social 2026 do të financojë katërmbëdhjetë shërbime të reja për fëmijë, të moshuar, persona me aftësi të kufizuara dhe gra e vajza të prekura nga dhuna. Dymbëdhjetë shërbime do të ofrohen në bashki dhe dy në nivel qarku.",real,0,fake,1,0.3461,0.6539,1.0,uncertain,sociale,Këshilli i Ministrave i Shqipërisë,institutional_government,2026-02-11,False,false_positive,0.6539,45,285,0,0.022026,0.087719,,,,medium_45_47,Rasti real u shty drejt fake; përmbledhja shumë e shkurtër mund të ketë ngjarë me anën e shkurtër të corpus-it (45 fjalë kundrejt medianës 206 për real në test set). Burimi institucional është vetëm metadata dhe modeli nuk e sheh atë si feature. Pragjet e zhvendosën këtë gabim binar në zonën uncertain.
EXT-R-014,Mbahet finalja e Festivalit Kombëtar të Shkencës,"Finalja e Festivalit Kombëtar të Shkencës mblodhi projekte kërkimore, eksperimente dhe prototipe të nxënësve të gjimnazeve. Sipas njoftimit, aktivitetet kishin nisur në laboratorët e 300 shkollave dhe kishin përfshirë mbi gjashtë mijë nxënës nga vendi.",real,0,fake,1,0.3268,0.6732,1.0,uncertain,sociale,Këshilli i Ministrave i Shqipërisë,institutional_government,2026-04-26,False,false_positive,0.6732,41,301,0,0.035573,0.063123,,sipas,,short_38_44,Rasti real u shty drejt fake; përmbledhja shumë e shkurtër mund të ketë ngjarë me anën e shkurtër të corpus-it (41 fjalë kundrejt medianës 206 për real në test set). Burimi institucional është vetëm metadata dhe modeli nuk e sheh atë si feature. U gjetën markerë burimi: sipas. Pragjet e zhvendosën këtë gabim binar në zonën uncertain.
EXT-R-015,Shkolla 22 Tetori në Berat rikonstruktohet për rreth 500 nxënës,"Punimet në shkollën 22 Tetori në Berat përfshijnë klasa, laboratorë, mjedise smartlab, palestër dhe hapësira për artin e zejet. Objekti pritet të shërbejë për rreth 500 nxënës dhe të përdoret edhe si qendër komunitare.",real,0,fake,1,0.3802,0.6198,1.0,uncertain,sociale,Këshilli i Ministrave i Shqipërisë,institutional_government,2026-04-10,False,false_positive,0.6198,40,282,0,0.03125,0.078014,,,,short_38_44,Rasti real u shty drejt fake; përmbledhja shumë e shkurtër mund të ketë ngjarë me anën e shkurtër të corpus-it (40 fjalë kundrejt medianës 206 për real në test set). Burimi institucional është vetëm metadata dhe modeli nuk e sheh atë si feature. Pragjet e zhvendosën këtë gabim binar në zonën uncertain.
EXT-R-016,Dyfishohet mbështetja për fëmijët dhe të rinjtë me aftësi të kufizuara,"Qeveria njoftoi dyfishimin e mbështetjes ekonomike për fëmijët dhe të rinjtë me aftësi të kufizuara. Plani i veprimit 2026-2030 përfshin gjithashtu sigurime për kujdestarët, më shumë shërbime në komunitet dhe masa për arsim, punësim e rehabilitim.",real,0,fake,1,0.2644,0.7356,1.0,likely_fake,sociale,Këshilli i Ministrave i Shqipërisë,institutional_government,2026-07-20,False,false_positive,0.7356,46,318,0,0.011583,0.078616,,,,medium_45_47,Rasti real u shty drejt fake; përmbledhja shumë e shkurtër mund të ketë ngjarë me anën e shkurtër të corpus-it (46 fjalë kundrejt medianës 206 për real në test set). Burimi institucional është vetëm metadata dhe modeli nuk e sheh atë si feature.
EXT-R-017,Nis faza e parë e projektit Smart City në njëzet shkolla të Tiranës,"Faza e parë e projektit Smart City përfshin njëzet shkolla në Tiranë. Sistemi i planifikuar përdor kamera, monitorim të integruar dhe inteligjencë artificiale për të identifikuar situata me rrezik dhe për të njoftuar qendrat operative.",real,0,fake,1,0.2107,0.7893,1.0,likely_fake,teknologji,Këshilli i Ministrave i Shqipërisë,institutional_government,2026-07-16,False,false_positive,0.7893,48,303,0,0.035573,0.056106,,,,long_48_51,Rasti real u shty drejt fake; përmbledhja shumë e shkurtër mund të ketë ngjarë me anën e shkurtër të corpus-it (48 fjalë kundrejt medianës 206 për real në test set). Burimi institucional është vetëm metadata dhe modeli nuk e sheh atë si feature.
EXT-R-018,Samiti Shqipëri-Izrael mbledh kompani të teknologjisë dhe sigurisë kibernetike,"Në Tiranë u zhvillua Samiti Shqipëri-Izrael me pjesëmarrjen e dyzet kompanive izraelite. Takimi u fokusua te siguria kibernetike, teknologjia moderne, inovacioni dhe mundësitë për partneritete mes institucioneve e bizneseve të dy vendeve.",real,0,fake,1,0.13,0.87,1.0,likely_fake,teknologji,Këshilli i Ministrave i Shqipërisë,institutional_government,2026-05-12,False,false_positive,0.87,41,317,0,0.03321,0.037855,,,,short_38_44,Rasti real u shty drejt fake; përmbledhja shumë e shkurtër mund të ketë ngjarë me anën e shkurtër të corpus-it (41 fjalë kundrejt medianës 206 për real në test set). Burimi institucional është vetëm metadata dhe modeli nuk e sheh atë si feature.
EXT-R-019,Prezantohet shoqëria publike Albanian Digital Solutions,"Albanian Digital Solutions u prezantua si një shoqëri publike për zhvillimin, mirëmbajtjen dhe modernizimin e sistemeve digjitale shtetërore. Njoftimi e lidh krijimin e saj me zgjerimin e kapaciteteve teknike dhe zhvillimin e shërbimeve elektronike publike.",real,0,fake,1,0.072,0.928,1.0,likely_fake,teknologji,Këshilli i Ministrave i Shqipërisë,institutional_government,2026-05-29,False,false_positive,0.928,41,313,0,0.02963,0.022364,,,,short_38_44,Rasti real u shty drejt fake; përmbledhja shumë e shkurtër mund të ketë ngjarë me anën e shkurtër të corpus-it (41 fjalë kundrejt medianës 206 për real në test set). Burimi institucional është vetëm metadata dhe modeli nuk e sheh atë si feature. Gabimi mbeti me të paktën 90% siguri; calibration nuk garanton saktësi për një rast individual jashtë shpërndarjes së trajnimit.
EXT-R-020,Administrata publike përdor mjete të inteligjencës artificiale në procesin e integrimit,Në një takim për digjitalizimin e administratës u paraqit përdorimi i mjeteve të inteligjencës artificiale për përpunimin e legjislacionit të Bashkimit Europian. U raportua gjithashtu se shumica e shërbimeve publike ofrohen online përmes platformës e-Albania.,real,0,fake,1,0.1278,0.8722,1.0,likely_fake,teknologji,Këshilli i Ministrave i Shqipërisë,institutional_government,2025-04-17,False,false_positive,0.8722,46,347,0,0.020067,0.048991,,,,medium_45_47,Rasti real u shty drejt fake; përmbledhja shumë e shkurtër mund të ketë ngjarë me anën e shkurtër të corpus-it (46 fjalë kundrejt medianës 206 për real në test set). Burimi institucional është vetëm metadata dhe modeli nuk e sheh atë si feature.
EXT-F-010,Arben Gashi është ndër pesë personat më të pasur në Gjermani,Një video në gjuhën gjermane e paraqet deputetin Arben Gashi si sipërmarrës të pasurive të paluajtshme. Materiali thotë se investimet në prona banesore dhe komerciale i kanë krijuar një pasuri rreth 300 milionë euro dhe e rendisin ndër më të pasurit.,fake,1,real,0,0.7063,0.2937,1.0,likely_real,ekonomi,Krypometër / postim në Facebook,fact_checked_social_claim,2025-10-29,False,false_negative,0.7063,51,311,0,0.027451,0.07074,,,,long_48_51,"Pretendimi fake është përmbledhur me stil neutral; prova e fact-check-ut ruhet veçmas dhe nuk i jepet modelit, prandaj formulimi mund të duket si lajm real. Nuk u gjet asnjë marker nga lista e kufizuar sensacionale."
EXT-F-012,Mega Mall dhuron qindra soba dhe enë gatimi për ndjekësit,Një faqe me emrin Mega Mall njofton se do të dhurojë qindra soba dhe enë gatimi me gërvishtje të vogla. Përdoruesve u kërkohet të komentojnë për të hyrë në short dhe më pas të japin të dhëna personale e bankare.,fake,1,real,0,0.5889,0.4111,1.0,uncertain,ekonomi,Krypometër / postim në Facebook,fact_checked_social_claim,2025-09-09,False,false_negative,0.5889,50,269,0,0.027523,0.078067,,,,long_48_51,"Pretendimi fake është përmbledhur me stil neutral; prova e fact-check-ut ruhet veçmas dhe nuk i jepet modelit, prandaj formulimi mund të duket si lajm real. Nuk u gjet asnjë marker nga lista e kufizuar sensacionale. Pragjet e zhvendosën këtë gabim binar në zonën uncertain."
