model,model_display,cohort,rows,real_rows,fake_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,brier_score,log_loss,confusion_matrix,false_positives,false_negatives,likely_real,uncertain,likely_fake,strong_coverage,strong_accuracy,mean_probability_fake_real,mean_probability_fake_fake
char_tfidf,Character TF-IDF,short_real_30_60,6,6,0,0.8333,1.0,0.8333,0.9091,1.0,0.8333,0.9091,0.0,0.0,0.0,0.250124,1.055516,"[[5, 1], [0, 0]]",1,0,3,2,1,0.6667,0.75,0.3916,
char_tfidf,Character TF-IDF,long_fake_gt_250,29,0,29,0.1379,1.0,0.1379,0.2424,0.0,0.0,0.0,1.0,0.1379,0.2424,0.591362,2.057538,"[[0, 0], [25, 4]]",0,25,16,11,2,0.6207,0.1111,,0.2692
char_tfidf,Character TF-IDF,length_very_short_le_60,9,6,3,0.8889,0.9167,0.8889,0.8918,1.0,0.8333,0.9091,0.75,1.0,0.8571,0.167246,0.712835,"[[5, 1], [0, 3]]",1,0,3,2,4,0.7778,0.8571,0.3916,0.9733
char_tfidf,Character TF-IDF,length_short_61_120,341,75,266,0.9267,0.9254,0.9267,0.9258,0.8571,0.8,0.8276,0.9446,0.9624,0.9534,0.041925,0.140268,"[[60, 15], [10, 256]]",15,10,53,28,260,0.9179,0.9744,0.2475,0.9403
char_tfidf,Character TF-IDF,length_medium_121_250,269,174,95,0.8513,0.8499,0.8513,0.8501,0.8722,0.9023,0.887,0.809,0.7579,0.7826,0.09976,0.329007,"[[157, 17], [23, 72]]",17,23,147,56,66,0.7918,0.9296,0.17,0.7314
char_tfidf,Character TF-IDF,length_long_gt_250,173,144,29,0.8439,0.8195,0.8439,0.7984,0.8503,0.9861,0.9132,0.6667,0.1379,0.2286,0.116227,0.417818,"[[142, 2], [25, 4]]",2,25,152,18,3,0.896,0.8903,0.0721,0.2692
word_char_tfidf,Word + Character TF-IDF,all_internal_test,792,399,393,0.9028,0.9035,0.9028,0.9027,0.887,0.9248,0.9055,0.9202,0.8804,0.8999,0.071269,0.248192,"[[369, 30], [47, 346]]",30,47,359,97,336,0.8775,0.9439,0.1425,0.8577
word_char_tfidf,Word + Character TF-IDF,internal_30_60,9,6,3,0.7778,0.8667,0.7778,0.7833,1.0,0.6667,0.8,0.6,1.0,0.75,0.163663,0.604993,"[[4, 2], [0, 3]]",2,0,3,2,4,0.7778,0.8571,0.3956,0.973
word_char_tfidf,Word + Character TF-IDF,short_real_30_60,6,6,0,0.6667,1.0,0.6667,0.8,1.0,0.6667,0.8,0.0,0.0,0.0,0.244864,0.893655,"[[4, 2], [0, 0]]",2,0,3,2,1,0.6667,0.75,0.3956,
word_char_tfidf,Word + Character TF-IDF,long_fake_gt_250,29,0,29,0.1724,1.0,0.1724,0.2941,0.0,0.0,0.0,1.0,0.1724,0.2941,0.554032,2.000092,"[[0, 0], [24, 5]]",0,24,16,10,3,0.6552,0.1579,,0.3038
word_char_tfidf,Word + Character TF-IDF,length_very_short_le_60,9,6,3,0.7778,0.8667,0.7778,0.7833,1.0,0.6667,0.8,0.6,1.0,0.75,0.163663,0.604993,"[[4, 2], [0, 3]]",2,0,3,2,4,0.7778,0.8571,0.3956,0.973
word_char_tfidf,Word + Character TF-IDF,length_short_61_120,341,75,266,0.9472,0.9465,0.9472,0.9467,0.9014,0.8533,0.8767,0.9593,0.9737,0.9664,0.037319,0.125682,"[[64, 11], [7, 259]]",11,7,54,31,256,0.9091,0.9806,0.2312,0.948
word_char_tfidf,Word + Character TF-IDF,length_medium_121_250,269,174,95,0.8848,0.8845,0.8848,0.8846,0.9086,0.9138,0.9112,0.8404,0.8316,0.836,0.088149,0.294822,"[[159, 15], [16, 79]]",15,16,152,44,73,0.8364,0.9289,0.1604,0.7704
word_char_tfidf,Word + Character TF-IDF,length_long_gt_250,173,144,29,0.8497,0.8318,0.8497,0.8091,0.8554,0.9861,0.9161,0.7143,0.1724,0.2778,0.107135,0.398606,"[[142, 2], [24, 5]]",2,24,150,20,3,0.8844,0.8954,0.064,0.3038
